City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Cabo San Lucas,MX,2021-06-13 20:10:05,22.8909,-109.9124,94.51,65,75,11.5
99,Souillac,MU,2021-06-13 20:10:29,-20.5167,57.5167,74.35,69,35,15.68
100,Noumea,NC,2021-06-13 20:07:55,-22.2763,166.4572,70.0,99,100,2.75
101,Hambantota,LK,2021-06-13 20:06:09,6.1241,81.1185,77.68,83,100,20.49
102,Cidreira,BR,2021-06-13 20:10:29,-30.1811,-50.2056,61.09,70,0,7.07
103,Blythe,US,2021-06-13 20:10:30,33.6103,-114.5964,113.04,4,5,14.41
104,Kiruna,SE,2021-06-13 20:10:30,67.8557,20.2251,45.52,53,20,14.97
105,Kodiak,US,2021-06-13 20:08:48,57.79,-152.4072,50.54,78,12,3.83
106,Grindavik,IS,2021-06-13 20:10:30,63.8424,-22.4338,45.07,93,75,13.8
107,Margate,GB,2021-06-13 20:10:31,51.3813,1.3862,71.46,68,5,4.0
108,Arraial Do Cabo,BR,2021-06-13 20:10:31,-22.9661,-42.0278,69.66,60,40,8.05
109,Praya,CV,2021-06-13 20:10:31,14.9215,-23.5087,81.14,69,0,5.75
110,Dikson,RU,2021-06-13 20:10:32,73.5069,80.5464,33.6,100,93,12.66
111,Haines Junction,CA,2021-06-13 20:10:32,60.7522,-137.5108,65.44,38,17,1.25
112,Tiksi,RU,2021-06-13 20:10:32,71.6872,128.8694,39.96,90,100,8.77
113,Yumen,CN,2021-06-13 20:10:33,40.2833,97.2,67.06,40,16,5.75
114,Jasper,US,2021-06-13 20:10:33,37.2001,-94.3502,89.02,41,22,3.0
115,Hobart,AU,2021-06-13 20:07:57,-42.8794,147.3294,51.93,96,90,0.0
116,Fort Nelson,CA,2021-06-13 20:10:33,58.8053,-122.7002,72.84,27,100,4.83
117,Natalio,PY,2021-06-13 20:10:34,-26.7167,-55.0833,67.15,63,0,1.36
118,Port Lincoln,AU,2021-06-13 20:10:34,-34.7333,135.8667,56.64,78,61,7.67
119,Mangrol,IN,2021-06-13 20:10:34,21.1167,70.1167,84.45,78,17,15.17
120,Yeniseysk,RU,2021-06-13 20:10:35,58.4497,92.1703,41.68,96,0,5.88
121,Kahului,US,2021-06-13 20:10:35,20.8947,-156.47,80.96,72,39,10.04
122,Cockburn Town,TC,2021-06-13 20:10:35,21.4612,-71.1419,84.16,70,20,13.8
123,Georgetown,MY,2021-06-13 20:05:44,5.4112,100.3354,81.9,85,20,2.3
124,Bud,US,2021-06-13 20:10:36,39.447,-86.1758,89.11,50,55,10.04
125,Codrington,AU,2021-06-13 20:10:36,-38.2667,141.9667,48.58,78,100,5.55
126,Touros,BR,2021-06-13 20:10:36,-5.1989,-35.4608,81.5,74,31,14.58
127,Broome,US,2021-06-13 20:10:37,42.2506,-75.833,84.61,61,8,1.99
128,Bethel,US,2021-06-13 20:08:00,41.3712,-73.414,80.49,73,100,4.81
129,Turukhansk,RU,2021-06-13 20:10:37,65.8167,87.9833,40.84,71,31,2.06
130,Nouadhibou,MR,2021-06-13 20:10:37,20.931,-17.0347,70.09,73,86,25.9
131,Kadoma,JP,2021-06-13 20:10:38,34.7333,135.5833,70.18,92,100,2.8
132,Sharjah,AE,2021-06-13 20:09:50,25.3573,55.4033,89.89,68,0,4.61
133,Kirakira,SB,2021-06-13 20:10:38,-10.4544,161.9205,77.72,81,47,10.11
134,Camaqua,BR,2021-06-13 20:10:38,-30.8511,-51.8122,61.68,77,0,4.79
135,Along,IN,2021-06-13 20:10:39,28.1667,94.7667,74.5,98,71,2.01
136,Maragogi,BR,2021-06-13 20:10:39,-9.0122,-35.2225,76.78,83,100,8.01
137,Seoul,KR,2021-06-13 20:09:05,37.5683,126.9778,67.39,68,100,2.13
138,Oranjemund,NA,2021-06-13 20:10:39,-28.55,16.4333,56.57,80,0,5.21
139,Camacha,PT,2021-06-13 20:10:40,33.0833,-16.3333,67.42,68,20,13.8
140,Bagan,RU,2021-06-13 20:10:40,54.1001,77.6646,60.04,87,90,7.16
141,Kodinar,IN,2021-06-13 20:10:40,20.7903,70.7031,83.98,79,10,13.94
142,Dingle,PH,2021-06-13 20:10:41,10.9995,122.6711,76.03,90,100,0.65
143,Punakha,BT,2021-06-13 20:10:41,27.5837,89.8598,70.39,90,47,1.25
144,Kurilsk,RU,2021-06-13 20:10:41,45.2333,147.8833,48.02,93,59,1.92
145,Gamba,GA,2021-06-13 20:10:42,-2.65,10.0,76.8,86,88,3.65
146,Grand Gaube,MU,2021-06-13 20:10:42,-20.0064,57.6608,74.37,71,68,7.0
147,Atasu,KZ,2021-06-13 20:10:42,48.6814,71.6433,54.82,79,26,7.85
148,Port Alfred,ZA,2021-06-13 20:10:42,-33.5906,26.891,62.85,86,38,15.75
149,Gravdal,NO,2021-06-13 20:10:43,68.1214,13.5031,46.29,66,75,6.91
150,Thinadhoo,MV,2021-06-13 20:06:09,0.5333,72.9333,82.15,75,92,8.59
151,Dali,CN,2021-06-13 20:10:43,25.7,100.1833,64.74,90,95,3.06
152,Sault Sainte Marie,CA,2021-06-13 20:05:57,46.5168,-84.3333,67.75,54,19,10.27
153,Lensk,RU,2021-06-13 20:10:44,60.7253,114.9278,51.12,60,100,2.33
154,Plettenberg Bay,ZA,2021-06-13 20:10:44,-34.0527,23.3716,57.85,81,38,7.36
155,Pitimbu,BR,2021-06-13 20:10:44,-7.4706,-34.8086,79.39,82,48,9.15
156,Pa Daet,TH,2021-06-13 20:10:45,19.5049,99.9924,74.16,98,100,6.4
157,Dakar,SN,2021-06-13 20:06:29,14.6937,-17.4441,83.28,86,8,14.23
158,Vila Franca Do Campo,PT,2021-06-13 20:10:45,37.7167,-25.4333,72.01,83,63,4.43
159,Leningradskiy,RU,2021-06-13 20:10:45,69.3833,178.4167,36.37,86,22,11.92
160,Hovd,MN,2021-06-13 20:10:46,48.0056,91.6419,53.24,53,32,3.11
161,Samfya,ZM,2021-06-13 20:10:46,-11.3649,29.5565,59.29,45,0,5.41
162,Akdepe,TM,2021-06-13 20:10:46,42.0551,59.3788,86.0,12,0,17.92
163,Gushikawa,JP,2021-06-13 20:10:47,26.3544,127.8686,78.8,94,75,12.66
164,Nanortalik,GL,2021-06-13 20:10:47,60.1432,-45.2371,37.09,88,98,8.1
165,East London,ZA,2021-06-13 20:10:47,-33.0153,27.9116,66.38,62,82,6.22
166,Labuhan,ID,2021-06-13 20:10:48,-6.8844,112.2051,77.85,86,98,6.42
167,Bambous Virieux,MU,2021-06-13 20:10:48,-20.3428,57.7575,74.21,71,51,17.13
168,Mackenzie,CA,2021-06-13 20:10:48,55.2999,-123.1698,57.22,72,92,3.91
169,Zambezi,ZM,2021-06-13 20:10:48,-13.5432,23.1047,54.9,36,4,6.22
170,Kudahuvadhoo,MV,2021-06-13 20:10:49,2.6708,72.8944,82.92,74,53,12.26
171,Pyapon,MM,2021-06-13 20:10:49,16.2833,95.6833,76.93,93,100,6.53
172,Kaka,TM,2021-06-13 20:10:50,37.3482,59.6143,88.68,17,0,11.72
173,Wewak,PG,2021-06-13 20:10:50,-3.5534,143.6268,79.32,83,90,7.07
174,Kolkwitz,DE,2021-06-13 20:08:22,51.75,14.25,57.67,76,44,7.81
175,Gat,IL,2021-06-13 20:08:00,31.61,34.7642,75.81,100,0,7.11
176,Sinnamary,GF,2021-06-13 20:10:50,5.3833,-52.95,80.96,81,60,8.05
177,Kondinskoye,RU,2021-06-13 20:10:51,59.6481,67.41,63.0,58,79,7.2
178,Lorengau,PG,2021-06-13 20:10:51,-2.0226,147.2712,81.14,78,99,5.79
179,Bredasdorp,ZA,2021-06-13 20:10:51,-34.5322,20.0403,54.59,92,97,4.72
180,Vaitape,PF,2021-06-13 20:10:51,-16.5167,-151.75,80.2,77,9,16.53
181,Saint Leonard,CA,2021-06-13 20:10:52,47.173,-67.9247,72.77,34,1,5.88
182,Ambulu,ID,2021-06-13 20:10:52,-8.345,113.6058,74.64,90,48,2.77
183,Salvador,SV,2021-06-13 20:07:55,13.8333,-88.9167,82.06,71,71,2.75
184,Ucluelet,CA,2021-06-13 20:09:36,48.9329,-125.5528,66.96,86,75,1.01
185,Prince Rupert,CA,2021-06-13 20:10:01,54.3161,-130.3201,58.62,73,100,4.76
186,Ust-Nera,RU,2021-06-13 20:10:53,64.5667,143.2,62.65,57,52,0.47
187,Kaeo,NZ,2021-06-13 20:10:53,-35.1,173.7833,63.32,97,100,11.65
188,Iquitos,PE,2021-06-13 20:10:54,-3.7481,-73.2472,80.64,74,75,4.61
189,Glace Bay,CA,2021-06-13 20:10:54,46.1969,-59.957,62.78,64,31,5.99
190,Longyearbyen,SJ,2021-06-13 20:10:54,78.2186,15.6401,33.64,64,75,13.8
